Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,league,HomeGoals,AwayGoals,manager_home,captain_home,manager_away,captain_away,venue_city,possessiontime_home,possessiontime_away,shots_total_home,shots_total_away,shots_ongoal_home,shots_ongoal_away,shots_offgoal_home,shots_offgoal_away,saves_home,saves_away,yellow_cards_home,red_cards_home,yellowred_cards_home,yellow_cards_away,red_cards_away,yellowred_cards_away,fouls_home,fouls_away,offsides_home,offsides_away,formation_home,formation_away,starting_name_home1,starting_age_home1,starting_position_home1,starting_minutes_home1,starting_goals_home1,starting_name_home2,starting_age_home2,starting_position_home2,starting_minutes_home2,starting_goals_home2,starting_name_home3,starting_age_home3,starting_position_home3,starting_minutes_home3,starting_goals_home3,starting_name_home4,starting_age_home4,starting_position_home4,starting_minutes_home4,starting_goals_home4,starting_name_home5,starting_age_home5,starting_position_home5,starting_minutes_home5,starting_goals_home5,bench_name_home1,bench_age_home1,bench_position_home1,bench_minutes_home1,bench_goals_home1,starting_name_home6,starting_age_home6,starting_position_home6,starting_minutes_home6,starting_goals_home6,starting_name_home7,starting_age_home7,starting_position_home7,starting_minutes_home7,starting_goals_home7,bench_name_home2,bench_age_home2,bench_position_home2,bench_minutes_home2,bench_goals_home2,starting_name_home8,starting_age_home8,starting_position_home8,starting_minutes_home8,starting_goals_home8,starting_name_home9,starting_age_home9,starting_position_home9,starting_minutes_home9,starting_goals_home9,bench_name_home3,bench_age_home3,bench_position_home3,bench_minutes_home3,bench_goals_home3,starting_name_home10,starting_age_home10,starting_position_home10,starting_minutes_home10,starting_goals_home10,bench_name_home4,bench_age_home4,bench_position_home4,bench_minutes_home4,bench_goals_home4,starting_name_home11,starting_age_home11,starting_position_home11,starting_minutes_home11,starting_goals_home11,starting_name_away1,starting_age_away1,starting_position_away1,starting_minutes_away1,starting_goals_away1,starting_name_away2,starting_age_away2,starting_position_away2,starting_minutes_away2,starting_goals_away2,starting_name_away3,starting_age_away3,starting_position_away3,starting_minutes_away3,starting_goals_away3,starting_name_away4,starting_age_away4,starting_position_away4,starting_minutes_away4,starting_goals_away4,bench_name_away1,bench_age_away1,bench_position_away1,bench_minutes_away1,bench_goals_away1,starting_name_away5,starting_age_away5,starting_position_away5,starting_minutes_away5,starting_goals_away5,bench_name_away2,bench_age_away2,bench_position_away2,bench_minutes_away2,bench_goals_away2,starting_name_away6,starting_age_away6,starting_position_away6,starting_minutes_away6,starting_goals_away6,bench_name_away3,bench_age_away3,bench_position_away3,bench_minutes_away3,bench_goals_away3,starting_name_away7,starting_age_away7,starting_position_away7,starting_minutes_away7,starting_goals_away7,starting_name_away8,starting_age_away8,starting_position_away8,starting_minutes_away8,starting_goals_away8,starting_name_away9,starting_age_away9,starting_position_away9,starting_minutes_away9,starting_goals_away9,starting_name_away10,starting_age_away10,starting_position_away10,starting_minutes_away10,starting_goals_away10,bench_name_away4,bench_age_away4,bench_position_away4,bench_minutes_away4,bench_goals_away4,starting_name_away11,starting_age_away11,starting_position_away11,starting_minutes_away11,starting_goals_away11,bench_name_away5,bench_age_away5,bench_position_away5,bench_minutes_away5,bench_goals_away5,starting_name_home12,starting_age_home12,starting_position_home12,starting_minutes_home12,starting_goals_home12,bench_name_home5,bench_age_home5,bench_position_home5,bench_minutes_home5,bench_goals_home5,starting_name_away12,starting_age_away12,starting_position_away12,starting_minutes_away12,starting_goals_away12,bench_name_home6,bench_age_home6,bench_position_home6,bench_minutes_home6,bench_goals_home6
Group stage,1,Tue,4/5/2022,18:15,Olimpia py,1.1,0–0,1.2,py Cerro Porteño,,Estadio Defensores del Chaco,Anderson Daronco,https://fbref.com//en/matches/9c626ab2/Club-Olimpia-Cerro-Porteno-April-5-2022-Copa-Libertadores,,2022,Copa Libertadores,0,0,Guillermo Farré,Santiago Longo,Eduardo Domínguez,Mariano Andújar,Córdoba,0.42,0.58,15,10,5,3,10,7,2,3,4,0,0,3,0,0,14,9,0,2,4-2-3-1,4-3-1-2,Nahuel Losada,30-122,GK,90,0,Juan Barinaga,22-311,RB,90,0,Alejandro Rébola,35-024,CB,90,0,Matias Moreno,19-327,CB,90,0,Matias Ibacache,24-218,LB,90,0,Mariano Troilo,20-056,"DM,AM",2,0,Ulises Sánchez,25-052,"DM,AM",90,0,Santiago Longo,25-127,DM,90,0,Daniel Barrea,22-026,RW,26,0,Matías Marín,23-241,AM,88,0,Lautaro Pastran,21-051,RW,64,0,Tomas Castro,20-348,LW,10,0,Facundo Lencioni,22-184,LW,80,0,Pablo Chavarría,35-227,FW,2,0,Lucas Passerini,29-032,FW,88,2,Mariano Andújar,40-018,GK,90,0,Leonardo Godoy,28-111,RB,90,0,Juan Guasone,22-143,CB,90,0,Luciano Lollo,36-141,CB,90,0,Fernando Zuqui,31-263,LB,45,0,Gastón Benedetti,22-141,LB,45,0,Nicolás Palavecino,20-141,RM,7,0,Santiago Ascacíbar,26-173,RM,83,0,Eros Mancuso,24-122,LM,45,0,Jorge Agustín Rodríguez,27-336,CM,90,0,José Sosa,38-059,LM,45,0,Benjamín Rollheiser,23-146,AM,75,0,Mauro Boselli,38-087,FW,67,1,Martiniano Moreno,20-095,AM,15,0,Mauro Méndez,24-212,FW,90,0,Franco Zapiola,22-179,FW,23,0,,,,,,Hernán Barcos,38-358,FW,9,0,,,,,,,,,,
Group stage,1,Tue,4/5/2022,18:15,Caracas ve,0.8,0–0,1.5,br Ath Paranaense,,Estadio Olímpico,Andrés Rojas,https://fbref.com//en/matches/b71024e7/Caracas-Athletico-Paranaense-April-5-2022-Copa-Libertadores,,2022,Copa Libertadores,0,0,Kily González,Claudio Corvalán,Fernando Gago,Iván Pillud,Santa Fe,0.4,0.6,15,13,7,3,8,10,2,6,2,0,0,5,0,0,14,15,3,1,3/4/2003,5/3/2002,Sebastián Moyano,32-357,GK,90,0,Nicolás Paz,20-306,CB,76,0,Franco Calderón,25-097,CB,90,0,Claudio Corvalán,34-148,CB,90,0,Federico Vera,25-147,RM,90,0,Oscar Piris,34-073,CB,14,0,Enzo Martín Roldán,22-253,CM,73,0,Joaquín Mosqueira,18-290,CM,89,0,Mateo Del Blanco,19-291,CM,17,0,Kevin Zenon,22-019,LM,90,0,Javier Morales,20-167,RW,75,1,Gastón Comas,25-066,CM,1,0,Mauro Luna Diale,24-114,LW,90,0,Daniel Juárez,22-019,RW,15,0,Jerónimo Domina,17-305,FW,90,0,Matías Tagliamonte,25-180,GK,90,0,Gastón Martirena,23-225,RB,90,0,Iván Pillud,37-116,CB,90,0,Tobías Rubio,19-022,CB,90,0,Ignacio Galván,20-346,LB,27,0,Santiago Quiros,20-167,CB,90,0,Agustin Ojeda,19-060,"RM,CM",28,0,Gabriel Rojas,26-057,LB,63,0,Tomás Pérez,17-113,CM,3,0,Agustín Almendra,23-188,CM,62,0,Santino Vera,17-129,CM,90,0,Baltasar Gallego,20-040,CM,87,1,Juan Quintero,30-212,FW,71,0,Jonathan David Gómez,33-240,LM,19,0,Maximiliano Romero,24-221,FW,71,0,Gabriel Hauche,36-264,FW,19,0,,,,,,Gabriel Sotomayor,23-276,FW,7,0,,,,,,,,,,
Group stage,1,Tue,4/5/2022,19:15,Colón ar,3.2,2–1,0.2,uy Peñarol,,Estadio Brigadier General Estanislao Lóp...,Wilton Sampaio,https://fbref.com//en/matches/0335b7bd/Colon-Penarol-April-5-2022-Copa-Libertadores,,2022,Copa Libertadores,2,1,Ricardo Zielinsky,Iván Marcone,Néstor Gorosito,Facundo Garcés,Avellaneda,0.56,0.44,10,9,3,5,7,4,4,3,1,0,0,0,0,0,15,7,1,3,4-1-4-1,4/3/2003,Rodrigo Rey,32-164,GK,90,0,Mauricio Isla,35-068,RB,90,0,Felipe Aguilar,30-211,CB,90,0,Edgar Elizalde,23-173,CB,90,0,Ayrton Costa,24-038,LB,90,0,Tomás Pozzo,22-326,DM,9,0,Iván Marcone,33-077,DM,81,0,Sergio Ortíz,22-177,CM,59,0,Matías Giménez,24-166,CM,31,0,Federico Mancuello,34-146,CM,81,0,Alexis Canelo,31-197,LM,90,0,Lucas González,23-077,CM,9,0,Brian Martínez,24-001,RW,66,0,Javier Vallejo,19-228,RM,24,0,Martín Cauteruccio,36-127,FW,90,0,Ignacio Chicco,27-050,GK,90,0,Alberto Espínola,32-192,RB,90,1,Paolo Goltz,38-099,CB,45,0,Facundo Garcés,23-348,CB,90,0,Gian Nardelli,23-161,CB,45,0,Rafael Marcelo Delgado,33-218,LB,90,0,Joaquín Ibáñez,26-348,LM,1,0,Rubén Botta,33-200,RM,90,0,Baldomero Perlaza,31-078,RW,29,0,Stéfano Moreyra,21-334,CM,90,0,Fabio Álvarez,30-208,LM,89,0,Tomás Galván,23-130,RW,61,0,Damián Batallini,27-056,LW,73,0,Eric Meza,24-133,LW,17,0,Jorge Benítez,30-351,FW,61,0,Ramón Ábila,33-309,FW,29,0,,,,,,Enrique Javier Borja,26-282,FW,32,0,,,,,,,,,,
Group stage,1,Wed,4/6/2022,19:00,América (MG) br,1,0–2,2.5,ec Independiente,,Estádio Raimundo Sampaio,Fernando Rapallini,https://fbref.com//en/matches/0ed99505/America-MG-Independiente-April-6-2022-Copa-Libertadores,,2022,Copa Libertadores,0,2,Sebastián Romero,Cristian Tarragona,Javier Gandolfi,Guido Herrera,La Plata,0.52,0.48,7,19,2,4,5,15,1,2,2,1,1,2,0,0,12,10,2,2,4-2-3-1,4-2-3-1,Tomás Durso,24-174,GK,90,0,Bautista Barros Schelotto,23-218,RB,68,0,Leonardo Morales,32-130,CB,82,0,Felipe Sánchez,19-134,CB,90,0,Germán Guiffrey,25-231,LB,70,0,Guillermo Enrique,23-176,RB,22,0,Lucas Castro,34-132,DM,54,0,Nicolás Sánchez,19-030,DM,68,0,Nicolás Colazo,33-042,LB,20,0,Erik Ramírez,26-332,AM,90,0,Franco Soldano,28-339,RW,54,0,Antonio Napolitano,24-184,DM,36,0,Benjamín Domínguez,19-334,LW,90,0,Pablo de Blasis,35-196,DM,22,0,Cristian Tarragona,32-132,FW,90,0,Guido Herrera,31-171,GK,90,0,Gastón Benavídez,27-300,RB,90,0,Kevin Mantilla,20-089,CB,90,0,Juan Rodríguez,29-172,CB,90,0,Mateo Seoane,19-191,DM,1,0,Juan Portillo,23-093,LB,90,0,Diego Barrera,19-058,RW,32,0,Diego Ortegoza,26-122,DM,89,0,Luis Sequeira,20-223,AM,32,0,Matias Gomez,17-269,DM,90,0,Luis Angulo,19-149,AM,58,0,Valentín Depietri,22-292,AM,58,0,Ramón Sosa,23-353,LW,90,2,José Romero,20-147,FW,17,0,Nahuel Bustos,25-046,FW,73,1,Martín Cauteruccio,35-289,FW,13,0,Paulinho Bóia,23-284,"FW,RW",70,0,Franco Torres,24-086,RW,36,0,,,,,,,,,,
Group stage,1,Wed,4/6/2022,19:00,Bragantino br,1.9,2–0,1,uy Nacional,,Estádio Nabi Abi Chedid,Kevin Ortega,https://fbref.com//en/matches/52428078/Bragantino-Nacional-April-6-2022-Copa-Libertadores,,2022,Copa Libertadores,2,0,Jorge Almirón,Marcos Rojo,Martín Palermo,Gastón Suso,Buenos Aires,0.7,0.3,10,14,3,5,7,9,4,0,2,0,0,2,0,0,7,13,1,2,4/3/2003,4-2-3-1,Javier Hernán García,36-201,GK,90,0,Lucas Blondel,26-338,RB,70,0,Jorge Figal,29-137,CB,90,0,Marcos Rojo,33-151,CB,81,0,Marcelo Saracchi,25-117,LB,90,0,Marcelo Weigandt,23-219,RB,20,0,Cristian Medina,21-078,RM,90,1,Jorman Campuzano,27-110,CM,71,0,Nicolás Valentini,22-134,CB,9,0,Ignacio Fernández,21-024,LM,90,0,Exequiel Zeballos,21-116,RW,71,1,Guillermo Matías Fernández,31-311,CM,19,0,Lucas Janson,29-002,LW,90,0,Luca Langoni,21-190,RW,19,0,Edinson Cavani,36-185,FW,75,1,Ramiro Macagno,26-153,GK,90,0,Nicolás Morgantini,28-341,RB,90,1,Ignacio Vázquez,26-064,CB,90,0,Gastón Suso,32-159,CB,90,0,Nicolás Servetto,27-144,DM,5,0,Sasha Marcich,25-081,LB,90,0,Franco Díaz,22-355,DM,13,0,Nicolás Castro,33-003,DM,85,0,Lucas Ocampo,25-268,LW,33,0,Iván Rossi,29-290,DM,77,0,Luciano Ferreyra,21-180,AM,90,0,Gabriel Gudiño,31-155,RW,90,0,Maximiliano Zalazar,22-163,LW,57,0,Mateo Pellegrino,22-170,FW,33,0,Ronaldo Martínez,27-115,FW,57,0,Juan Manuel García,30-074,FW,7,1,,,,,,Darío Benedetto,33-093,FW,15,0,,,,,,,,,,
Group stage,1,Wed,4/6/2022,19:00,Talleres ar,1.2,1–0,0.5,cl Univ Católica,,Estadio Mario Alberto Kempes,Gustavo Tejera,https://fbref.com//en/matches/b3c17212/Talleres-Univ-Catolica-April-6-2022-Copa-Libertadores,,2022,Copa Libertadores,1,0,Federico Vilar,Alejandro Medina,Diego Dabove,Fernando Alarcón,Ciudad de Córdoba,0.53,0.47,12,9,2,3,10,6,2,2,2,0,0,4,0,0,16,14,3,3,5/3/2002,4-2-3-1,Alejandro Medina,36-187,GK,90,0,Daniel Lucero,21-125,RB,57,0,Néstor Breitenbruch,27-341,CB,90,0,Maximiliano Centurión,24-181,CB,68,0,Joaquín Pombo,22-155,CB,90,0,Lucas Brochero,24-209,RB,33,0,Adrián Sporle,28-038,LB,65,0,Gonzalo Muscia,23-223,CM,90,0,Ignacio Gariglio,25-117,CB,22,0,Braian Rivero,27-179,CM,65,0,Santiago Toloza,20-296,CM,90,0,Lautaro Guzmán,23-214,LB,25,0,Flabián Londoño,23-042,FW,45,0,Juan Bautista Cejas,25-167,CM,25,0,Facundo Pons,27-271,FW,90,0,Manuel Roffo,23-138,GK,90,0,Juan Franco Arrellaga,31-191,RB,90,0,Ezequiel Parnisari,33-080,CB,90,0,Fernando Alarcón,29-065,CB,90,0,Nicolás Linares,27-167,DM,22,0,Lucas Rodríguez,29-327,LB,90,0,Santiago Rodriguez,25-362,AM,22,0,Roberto Bochi,33-247,DM,90,0,Brian Cuello,25-324,MF,16,0,Luciano Aued,36-172,DM,68,0,Franco Watson,23-231,AM,68,0,Gabriel Graciani,29-265,RW,74,0,Gastón Lodico,25-084,LW,89,0,Matías Romero,27-200,RW,1,0,Adrián Martínez,31-044,FW,89,1,Axel Rodríguez,26-148,FW,1,0,,,,,,Juan Cavallaro,29-053,FW,45,0,,,,,,,,,,
Group stage,1,Tue,4/5/2022,19:30,AD Cali co,1.6,2–0,0.7,ar Boca Juniors,18695,Estadio Deportivo Cali,Jesús Valenzuela,https://fbref.com//en/matches/3a0a3058/AD-Cali-Boca-Juniors-April-5-2022-Copa-Libertadores,,2022,Copa Libertadores,2,0,Pablo Lavallén,Lisandro López,Juan Manuel Sara,Sebastián Prediger,Junín,0.32,0.68,7,18,3,2,4,16,2,1,6,0,0,2,0,0,17,10,0,0,4/3/2003,4-3-1-2,José Devecchi,28-042,GK,90,0,Gonzalo Bettini,30-328,RB,70,0,Franco Paredes,24-155,"CB,CM",90,1,Juan Manuel Insaurralde,38-321,CB,90,0,Gabriel Díaz,23-123,LB,90,0,Juan Hernández,25-294,DF,20,0,Manuel García,24-070,RM,61,0,Diego Calcaterra,22-025,CM,75,1,Fernando Martínez,29-099,RM,29,0,Sergio Quiroga,29-074,LM,61,0,Guido Mainero,28-150,RW,90,0,Jean Pierre Rosso,26-135,RB,15,0,Alan Marinelli,24-135,LW,90,0,Maico Quiroz,21-273,LM,29,0,Lisandro López,40-171,FW,71,0,Santiago Rojas,27-137,GK,90,0,Martin Garay,24-069,RB,79,0,Emanuel Aguilera,34-070,CB,90,0,Brian Luciatti,30-155,CB,90,0,Robert Rojas,27-112,RB,11,0,Sebastián Prieto,30-133,LB,90,0,Juan Esquivel,22-363,CM,17,0,Lucas Menossi,31-040,RM,90,0,Ezequiel Forclaz,20-139,AM,17,0,Sebastián Prediger,36-350,CM,73,0,Alexis Castro,28-306,LM,90,0,Aaron Nicolás Molinas,23-018,AM,73,0,Tomás Badaloni,23-110,FW,60,0,Renzo López,29-126,FW,30,0,Blas Armoa,23-198,FW,60,0,José Paradela,24-248,FW,30,0,,,,,,Lucas Melano,30-172,FW,19,0,,,,,,,,,,
Group stage,1,Tue,4/5/2022,19:30,Sporting Cristal pe,1.1,0–2,0.7,br Flamengo,,Estadio Nacional,John J. Ospina,https://fbref.com//en/matches/6ee335d2/Sporting-Cristal-Flamengo-April-5-2022-Copa-Libertadores,,2022,Copa Libertadores,0,2,Miguel Ángel Russo,Jorge Broun,Sergio Gómez,Joaquín Pereyra,Rosario,0.52,0.48,10,7,2,1,8,6,1,2,3,0,0,2,0,1,11,7,2,1,4-2-3-1,4/4/2002,Jorge Broun,37-086,GK,90,0,Ismael Cortéz,21-231,RB,90,0,Facundo Mallo,28-216,CB,90,0,Carlos Quintana,35-190,CB,90,0,Alan Rodríguez,23-005,LB,90,0,Agustín Toledo,23-172,DM,23,0,Kevin Ortíz,22-336,DM,67,0,Tomás O'Connor,19-148,DM,80,0,Francesco Lo Celso,23-168,DM,10,0,Laurtaro Giaccone,22-200,AM,80,0,Víctor Malcorra,36-027,AM,90,0,Maximiliano Lovera,24-164,RW,10,0,Jaminton Campaz,23-088,LW,90,0,Luca Martínez,22-215,FW,31,0,Octavio Bianchi,27-319,FW,59,0,Tomás Marchiori,28-061,GK,90,0,Hernán De La Fuente,26-225,RB,90,0,Francisco Flores,21-221,CB,90,0,Nicolás Romero,19-265,CB,90,0,Tomás Castro,22-170,RM,1,0,Matías Orihuela,31-184,LB,90,0,Ramiro Ruiz,23-152,FW,17,0,Renzo Tesuri,27-074,RM,89,0,Bautista Kociubinski,22-116,FW,9,0,Adrián Guillermo Sánchez,24-098,CM,90,0,Ramiro Carrera,29-300,CM,69,0,Joaquín Pereyra,24-262,LM,90,0,Mateo Coronel,24-300,FW,73,0,Juan Cruz Kaprof,27-323,FW,12,0,Marcelo Estigarribia,28-102,FW,81,0,Ángel Romero,30-276,FW,8,0,,,,,,Nicolás Cordero,22-307,FW,6,0,,,,,,,,,,
Group stage,1,Tue,4/5/2022,20:30,Always Ready bo,1.3,2–0,0.7,br Corinthians,4536,Estadio Hernando Siles,Piero Maza,https://fbref.com//en/matches/fd0a9895/Always-Ready-Corinthians-April-5-2022-Copa-Libertadores,,2022,Copa Libertadores,2,0,Frank Kudelka,Cristian Lema,Rubén Darío Insúa,Augusto Batalla,Lanús,0.55,0.45,14,12,6,3,8,9,2,6,3,0,0,2,0,0,14,13,3,1,4/3/2003,3/4/2003,Alan Aguerre,32-362,GK,90,0,Braian Aguirre,23-023,RB,90,0,Cristian Lema,33-149,CB,90,0,Jose Domínguez,27-031,CB,90,0,Juan Sánchez Miño,33-231,LB,90,0,Luciano Boggio,24-163,RM,14,0,Raúl Loaiza,29-073,"RM,CM",76,0,Julián Fernández,28-120,CM,76,0,Felipe Peña,22-137,CM,14,0,Matías Esquivel,24-151,LM,67,0,Franco Troyansky,26-167,RW,59,0,José Sand,43-034,FW,23,0,Pedro De la Vega,22-194,"LW,LM",90,0,Augusto Lotti,27-071,"RM,RW",31,0,Leandro Díaz,31-075,FW,90,0,Augusto Batalla,27-112,GK,90,0,Rafa Pérez,33-223,CB,90,0,Gastón Campi,32-136,CB,90,0,Gastón Hernández,25-213,CB,90,0,Carlos Auzqui,32-157,RW,35,0,Agustín Giay,19-216,RM,90,0,Carlos Sánchez,37-195,"CM,LW",11,0,Jalil Elías,27-117,CM,90,0,Federico Girotti,24-079,FW,5,0,Gonzalo Maroni,24-155,"CM,LW",90,0,Malcom Braida,26-095,LM,90,0,Ivan Leguizamon,21-048,RW,55,0,Nahuel Barrios,25-105,LW,79,0,Gerónimo Tomasetti,22-262,"LM,RM",21,0,Adam Bareiro,27-025,FW,85,1,Franco Jara,34-198,FW,1,0,,,,,,Héctor Fértoli,28-057,RM,16,0,,,,,,,,,,
Group stage,1,Thu,4/7/2022,19:00,Fortaleza br,1.9,1–2,1.3,cl Colo-Colo,,Estádio Castelão,Andrés Cunha,https://fbref.com//en/matches/13c23204/Fortaleza-Colo-Colo-April-7-2022-Copa-Libertadores,,2022,Copa Libertadores,1,2,Sebastián Méndez,Lautaro Gianetti,Sergio Rondina,Iván Tapia,Capital Federal,0.49,0.51,9,4,2,1,7,3,1,2,2,0,0,1,0,0,11,10,1,1,4-2-3-1,5/4/2001,Leonardo Burián,39-210,GK,90,0,Roberto Joaquín García,21-364,RB,90,0,Lautaro Gianetti,29-279,CB,90,0,Valentín Gómez,20-054,CB,90,0,Elías Gómez,29-071,LB,90,0,Nicolás Garayalde,24-029,DM,9,0,Juan Ignacio Méndez,26-113,DM,90,0,Jose Florentín,27-045,DM,81,0,Elías Cabrera,20-175,AM,32,0,Walter Bou,29-359,AM,58,0,Gianluca Prestianni,17-200,RW,81,0,Christian Ordoñez,19-026,RW,9,0,Francisco Pizzini,29-334,LW,90,0,Santiago Castro,18-324,FW,1,0,Braian Romero,32-065,FW,89,0,Andrés Desábato,33-142,GK,31,0,Mauro Peinipil,24-138,RB,45,0,Nicolás Capraro,25-169,CB,90,0,Francisco Álvarez,23-174,CB,90,0,Guido Villar,25-185,GK,59,0,Juan Ignacio Díaz,25-085,CB,11,0,Lucas Colitto,29-079,RM,45,0,Rodrigo Insúa,25-246,LB,90,0,Matías Laba,31-251,CM,15,0,Facundo Mater,25-027,"RB,RM",90,0,Iván Tapia,24-269,CM,90,0,Carlos Arce,32-337,CM,75,0,Brian Calderara,24-323,LM,90,0,Fernando Prado,22-151,CB,64,0,Bruno Sepúlveda,30-336,FW,90,0,Joaquín Susvielles,32-172,FW,15,0,,,,,,Federico Jourdan,32-015,RM,18,0,,,,,,,,,,
