date,datetime,timestamp,season,away,away_code,away_pts,home,home_code,home_pts,overtime,type,boxscore
10/18/2022,10/18/2022 19:30,1666121400,2023,Philadelphia 76ers,PHI,117,Boston Celtics,BOS,126,,,https://www.basketball-reference.com/boxscores/202210180BOS.html
10/18/2022,10/18/2022 22:00,1666130400,2023,Los Angeles Lakers,LAL,109,Golden State Warriors,GSW,123,,,https://www.basketball-reference.com/boxscores/202210180GSW.html
10/19/2022,10/19/2022 19:00,1666206000,2023,Orlando Magic,ORL,109,Detroit Pistons,DET,113,,,https://www.basketball-reference.com/boxscores/202210190DET.html
10/19/2022,10/19/2022 19:00,1666206000,2023,Washington Wizards,WAS,114,Indiana Pacers,IND,107,,,https://www.basketball-reference.com/boxscores/202210190IND.html
10/19/2022,10/19/2022 19:30,1666207800,2023,Houston Rockets,HOU,107,Atlanta Hawks,ATL,117,,,https://www.basketball-reference.com/boxscores/202210190ATL.html
10/19/2022,10/19/2022 19:30,1666207800,2023,New Orleans Pelicans,NOP,130,Brooklyn Nets,BRK,108,,,https://www.basketball-reference.com/boxscores/202210190BRK.html
10/19/2022,10/19/2022 19:30,1666207800,2023,New York Knicks,NYK,112,Memphis Grizzlies,MEM,115,OT,,https://www.basketball-reference.com/boxscores/202210190MEM.html
10/19/2022,10/19/2022 19:30,1666207800,2023,Chicago Bulls,CHI,116,Miami Heat,MIA,108,,,https://www.basketball-reference.com/boxscores/202210190MIA.html
10/19/2022,10/19/2022 19:30,1666207800,2023,Cleveland Cavaliers,CLE,105,Toronto Raptors,TOR,108,,,https://www.basketball-reference.com/boxscores/202210190TOR.html
10/19/2022,10/19/2022 20:00,1666209600,2023,Oklahoma City Thunder,OKC,108,Minnesota Timberwolves,MIN,115,,,https://www.basketball-reference.com/boxscores/202210190MIN.html
10/19/2022,10/19/2022 20:00,1666209600,2023,Charlotte Hornets,CHO,129,San Antonio Spurs,SAS,102,,,https://www.basketball-reference.com/boxscores/202210190SAS.html
10/19/2022,10/19/2022 21:00,1666213200,2023,Denver Nuggets,DEN,102,Utah Jazz,UTA,123,,,https://www.basketball-reference.com/boxscores/202210190UTA.html
10/19/2022,10/19/2022 22:00,1666216800,2023,Dallas Mavericks,DAL,105,Phoenix Suns,PHO,107,,,https://www.basketball-reference.com/boxscores/202210190PHO.html
10/19/2022,10/19/2022 22:00,1666216800,2023,Portland Trail Blazers,POR,115,Sacramento Kings,SAC,108,,,https://www.basketball-reference.com/boxscores/202210190SAC.html
10/20/2022,10/20/2022 19:30,1666294200,2023,Milwaukee Bucks,MIL,90,Philadelphia 76ers,PHI,88,,,https://www.basketball-reference.com/boxscores/202210200PHI.html
10/20/2022,10/20/2022 22:00,1666303200,2023,Los Angeles Clippers,LAC,103,Los Angeles Lakers,LAL,97,,,https://www.basketball-reference.com/boxscores/202210200LAL.html
10/21/2022,10/21/2022 19:00,1666378800,2023,New Orleans Pelicans,NOP,124,Charlotte Hornets,CHO,112,,,https://www.basketball-reference.com/boxscores/202210210CHO.html
10/21/2022,10/21/2022 19:00,1666378800,2023,San Antonio Spurs,SAS,137,Indiana Pacers,IND,134,,,https://www.basketball-reference.com/boxscores/202210210IND.html
10/21/2022,10/21/2022 19:00,1666378800,2023,Chicago Bulls,CHI,100,Washington Wizards,WAS,102,,,https://www.basketball-reference.com/boxscores/202210210WAS.html
10/21/2022,10/21/2022 19:30,1666380600,2023,Orlando Magic,ORL,98,Atlanta Hawks,ATL,108,,,https://www.basketball-reference.com/boxscores/202210210ATL.html
10/21/2022,10/21/2022 19:30,1666380600,2023,Toronto Raptors,TOR,105,Brooklyn Nets,BRK,109,,,https://www.basketball-reference.com/boxscores/202210210BRK.html
10/21/2022,10/21/2022 19:30,1666380600,2023,Boston Celtics,BOS,111,Miami Heat,MIA,104,,,https://www.basketball-reference.com/boxscores/202210210MIA.html
10/21/2022,10/21/2022 19:30,1666380600,2023,Detroit Pistons,DET,106,New York Knicks,NYK,130,,,https://www.basketball-reference.com/boxscores/202210210NYK.html
10/21/2022,10/21/2022 20:00,1666382400,2023,Memphis Grizzlies,MEM,129,Houston Rockets,HOU,122,,,https://www.basketball-reference.com/boxscores/202210210HOU.html
10/21/2022,10/21/2022 20:00,1666382400,2023,Utah Jazz,UTA,132,Minnesota Timberwolves,MIN,126,OT,,https://www.basketball-reference.com/boxscores/202210210MIN.html
10/21/2022,10/21/2022 22:00,1666389600,2023,Denver Nuggets,DEN,128,Golden State Warriors,GSW,123,,,https://www.basketball-reference.com/boxscores/202210210GSW.html
10/21/2022,10/21/2022 22:00,1666389600,2023,Phoenix Suns,PHO,111,Portland Trail Blazers,POR,113,OT,,https://www.basketball-reference.com/boxscores/202210210POR.html
10/22/2022,10/22/2022 18:00,1666461600,2023,San Antonio Spurs,SAS,114,Philadelphia 76ers,PHI,105,,,https://www.basketball-reference.com/boxscores/202210220PHI.html
10/22/2022,10/22/2022 19:00,1666465200,2023,Detroit Pistons,DET,115,Indiana Pacers,IND,124,,,https://www.basketball-reference.com/boxscores/202210220IND.html
10/22/2022,10/22/2022 19:00,1666465200,2023,Boston Celtics,BOS,126,Orlando Magic,ORL,120,,,https://www.basketball-reference.com/boxscores/202210220ORL.html
10/22/2022,10/22/2022 20:00,1666468800,2023,Cleveland Cavaliers,CLE,128,Chicago Bulls,CHI,96,,,https://www.basketball-reference.com/boxscores/202210220CHI.html
10/22/2022,10/22/2022 20:00,1666468800,2023,Toronto Raptors,TOR,109,Miami Heat,MIA,112,,,https://www.basketball-reference.com/boxscores/202210220MIA.html
10/22/2022,10/22/2022 20:00,1666468800,2023,Houston Rockets,HOU,105,Milwaukee Bucks,MIL,125,,,https://www.basketball-reference.com/boxscores/202210220MIL.html
10/22/2022,10/22/2022 20:30,1666470600,2023,Memphis Grizzlies,MEM,96,Dallas Mavericks,DAL,137,,,https://www.basketball-reference.com/boxscores/202210220DAL.html
10/22/2022,10/22/2022 21:00,1666472400,2023,Oklahoma City Thunder,OKC,117,Denver Nuggets,DEN,122,,,https://www.basketball-reference.com/boxscores/202210220DEN.html
10/22/2022,10/22/2022 22:00,1666476000,2023,Los Angeles Clippers,LAC,111,Sacramento Kings,SAC,109,,,https://www.basketball-reference.com/boxscores/202210220SAC.html
10/23/2022,10/23/2022 15:30,1666539000,2023,Portland Trail Blazers,POR,106,Los Angeles Lakers,LAL,104,,,https://www.basketball-reference.com/boxscores/202210230LAL.html
10/23/2022,10/23/2022 17:00,1666544400,2023,Charlotte Hornets,CHO,126,Atlanta Hawks,ATL,109,,,https://www.basketball-reference.com/boxscores/202210230ATL.html
10/23/2022,10/23/2022 19:00,1666551600,2023,Washington Wizards,WAS,107,Cleveland Cavaliers,CLE,117,OT,,https://www.basketball-reference.com/boxscores/202210230CLE.html
10/23/2022,10/23/2022 19:00,1666551600,2023,Utah Jazz,UTA,122,New Orleans Pelicans,NOP,121,OT,,https://www.basketball-reference.com/boxscores/202210230NOP.html
10/23/2022,10/23/2022 20:00,1666555200,2023,Minnesota Timberwolves,MIN,116,Oklahoma City Thunder,OKC,106,,,https://www.basketball-reference.com/boxscores/202210230OKC.html
10/23/2022,10/23/2022 20:30,1666557000,2023,Sacramento Kings,SAC,125,Golden State Warriors,GSW,130,,,https://www.basketball-reference.com/boxscores/202210230GSW.html
10/23/2022,10/23/2022 22:00,1666562400,2023,Phoenix Suns,PHO,112,Los Angeles Clippers,LAC,95,,,https://www.basketball-reference.com/boxscores/202210230LAC.html
10/24/2022,10/24/2022 19:00,1666638000,2023,Indiana Pacers,IND,106,Philadelphia 76ers,PHI,120,,,https://www.basketball-reference.com/boxscores/202210240PHI.html
10/24/2022,10/24/2022 19:30,1666639800,2023,Toronto Raptors,TOR,98,Miami Heat,MIA,90,,,https://www.basketball-reference.com/boxscores/202210240MIA.html
10/24/2022,10/24/2022 19:30,1666639800,2023,Orlando Magic,ORL,102,New York Knicks,NYK,115,,,https://www.basketball-reference.com/boxscores/202210240NYK.html
10/24/2022,10/24/2022 20:00,1666641600,2023,Boston Celtics,BOS,102,Chicago Bulls,CHI,120,,,https://www.basketball-reference.com/boxscores/202210240CHI.html
10/24/2022,10/24/2022 20:00,1666641600,2023,Utah Jazz,UTA,108,Houston Rockets,HOU,114,,,https://www.basketball-reference.com/boxscores/202210240HOU.html
10/24/2022,10/24/2022 20:00,1666641600,2023,Brooklyn Nets,BRK,124,Memphis Grizzlies,MEM,134,,,https://www.basketball-reference.com/boxscores/202210240MEM.html
10/24/2022,10/24/2022 20:00,1666641600,2023,San Antonio Spurs,SAS,115,Minnesota Timberwolves,MIN,106,,,https://www.basketball-reference.com/boxscores/202210240MIN.html
10/24/2022,10/24/2022 22:00,1666648800,2023,Denver Nuggets,DEN,110,Portland Trail Blazers,POR,135,,,https://www.basketball-reference.com/boxscores/202210240POR.html
10/25/2022,10/25/2022 19:00,1666724400,2023,Detroit Pistons,DET,99,Washington Wizards,WAS,120,,,https://www.basketball-reference.com/boxscores/202210250WAS.html
10/25/2022,10/25/2022 19:30,1666726200,2023,Dallas Mavericks,DAL,111,New Orleans Pelicans,NOP,113,,,https://www.basketball-reference.com/boxscores/202210250NOP.html
10/25/2022,10/25/2022 20:00,1666728000,2023,Los Angeles Clippers,LAC,94,Oklahoma City Thunder,OKC,108,,,https://www.basketball-reference.com/boxscores/202210250OKC.html
10/25/2022,10/25/2022 22:00,1666735200,2023,Golden State Warriors,GSW,105,Phoenix Suns,PHO,134,,,https://www.basketball-reference.com/boxscores/202210250PHO.html
10/26/2022,10/26/2022 19:00,1666810800,2023,Orlando Magic,ORL,92,Cleveland Cavaliers,CLE,103,,,https://www.basketball-reference.com/boxscores/202210260CLE.html
10/26/2022,10/26/2022 19:00,1666810800,2023,Atlanta Hawks,ATL,118,Detroit Pistons,DET,113,,,https://www.basketball-reference.com/boxscores/202210260DET.html
10/26/2022,10/26/2022 19:30,1666812600,2023,Brooklyn Nets,BRK,99,Milwaukee Bucks,MIL,110,,,https://www.basketball-reference.com/boxscores/202210260MIL.html
10/26/2022,10/26/2022 19:30,1666812600,2023,Charlotte Hornets,CHO,131,New York Knicks,NYK,134,OT,,https://www.basketball-reference.com/boxscores/202210260NYK.html
10/26/2022,10/26/2022 19:30,1666812600,2023,Philadelphia 76ers,PHI,109,Toronto Raptors,TOR,119,,,https://www.basketball-reference.com/boxscores/202210260TOR.html
10/26/2022,10/26/2022 20:00,1666814400,2023,Indiana Pacers,IND,109,Chicago Bulls,CHI,124,,,https://www.basketball-reference.com/boxscores/202210260CHI.html
10/26/2022,10/26/2022 20:00,1666814400,2023,San Antonio Spurs,SAS,122,Minnesota Timberwolves,MIN,134,,,https://www.basketball-reference.com/boxscores/202210260MIN.html
10/26/2022,10/26/2022 21:00,1666818000,2023,Houston Rockets,HOU,101,Utah Jazz,UTA,109,,,https://www.basketball-reference.com/boxscores/202210260UTA.html
10/26/2022,10/26/2022 22:00,1666821600,2023,Los Angeles Lakers,LAL,99,Denver Nuggets,DEN,110,,,https://www.basketball-reference.com/boxscores/202210260DEN.html
10/26/2022,10/26/2022 22:00,1666821600,2023,Miami Heat,MIA,119,Portland Trail Blazers,POR,98,,,https://www.basketball-reference.com/boxscores/202210260POR.html
10/27/2022,10/27/2022 19:30,1666899000,2023,Dallas Mavericks,DAL,129,Brooklyn Nets,BRK,125,OT,,https://www.basketball-reference.com/boxscores/202210270BRK.html
